"","SU_ID","P_PANEL","NATIONAL_WEIGHT","REGION_WEIGHT","NATIONAL_WEIGHT_POP","REGION_WEIGHT_POP","NAT_WGT_COMB_POP","REG_WGT_COMB_POP","P_GEO","SOC1","SOC2A","SOC2B","SOC3A","SOC3B","SOC4A","SOC4B","PHYS8","PHYS1A","PHYS1B","PHYS1C","PHYS1D","PHYS1E","PHYS1F","PHYS1G","PHYS1H","PHYS1I","PHYS1J","PHYS1K","PHYS1L","PHYS1M","PHYS1N","PHYS1O","PHYS1P","PHYS1Q","SOC5A","SOC5B","SOC5C","SOC5D","SOC5E","PHYS2_1","PHYS2_2","PHYS2_3","PHYS2_4","PHYS2_5","PHYS2_6","PHYS2_7","PHYS2_8","PHYS2_9","PHYS2_10","PHYS2_11","PHYS2_12","PHYS2_13","PHYS2_14","PHYS2_15","PHYS2_16","PHYS2_17","PHYS2_18","PHYS2_19","PHYS2_DK","PHYS2_SKP","PHYS2_REF","PHYS10A","PHYS10B","PHYS10C","PHYS10D","PHYS10E","ECON8A","ECON8B","ECON8C","ECON8D","ECON8E","ECON8F","ECON8G","ECON8H","ECON8I","ECON8J","ECON8K","ECON8L","ECON8M","ECON8N","ECON8O","ECON8P","ECON8Q","ECON8R","ECON8S","ECON7_1","ECON7_2","ECON7_3","ECON7_4","ECON7_5","ECON7_6","ECON7_7","ECON7_8","ECON7_DK","ECON7_SKP","ECON7_REF","ECON1","ECON4","ECON3","ECON4A","ECON4B","ECON6A","ECON6B","ECON6C","ECON6D","ECON6E","ECON6F","ECON6G","ECON6H","ECON6I","ECON6J","ECON6K","ECON6L","ECON5A_A","ECON5A_B","PHYS7_1","PHYS7_2","PHYS7_3","PHYS7_4","PHYS7_DK","PHYS7_SKP","PHYS7_REF","PHYS11","PHYS11_TEMP","PHYS9A","PHYS9B","PHYS9C","PHYS9D","PHYS9E","PHYS9F","PHYS9G","PHYS9H","PHYS3A","PHYS3B","PHYS3C","PHYS3D","PHYS3E","PHYS3F","PHYS3G","PHYS3H","PHYS3I","PHYS3J","PHYS3K","PHYS3L","PHYS3M","PHYS4","PHYS5","PHYS6","AGE4","AGE7","GENDER","RACETH","RACE_R2","EDUCATION","EDUC4","HHSIZE1","REGION4","REGION9","P_DENSE","MODE","LANGUAGE","MAIL50","RACE1_BANNER","INC_BANNER","AGE_BANNER","HH_BANNER","ECON2","ECON31","HHINCOME","P_OCCUPY2","MARITAL","LGBT","HH01S","HH25S","HH612S","HH1317S","HH18OVS","RACE2_BANNER","NeighborChange"
"1","0020000024","ABS",NA,0.4062974839,NA,3173.3430006,NA,1586.6715003,9,3,5,5,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,5,5,5,5,5,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,0,3,3,40,4,3,2,4,4,4,4,4,4,4,4,4,4,4,2,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,1,1,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,1,1,1,6,4,3,4,9,2,2,1,5,1,2,3,5,NA,"40",5,NA,NA,NA,0,0,0,0,3,NA,0
"2","0020001653","ABS",NA,0.3187468867,NA,5219.8516329,NA,2609.9258164,14,3,2,3,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,3,4,4,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,3,3,3,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,NA,40,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,1,0,0,0,0,0,0,1,96.9,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,2,1,1,5,4,1,2,3,3,2,1,5,1,3,2,1,40,"40",6,NA,NA,NA,0,0,0,0,1,NA,1
"3","0020001908","ABS",NA,0.5459146697,NA,5772.0106614,NA,2886.0053307,5,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,3,4,3,2,1,2,1,1,2,1,2,2,2,2,1,2,2,1,NA,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3,2,NA,NA,NA,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.9,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,4,6,2,1,1,4,3,1,2,4,2,2,1,5,1,1,3,1,NA,"(998) SKIPPED ON WEB",1,NA,NA,NA,0,0,0,0,1,NA,0
"4","0020002623","ABS",NA,0.9353794308,NA,9912.1956886,NA,4956.0978443,2,3,4,4,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,NA,60,5,5,4,4,4,4,4,4,4,4,4,4,4,4,2,2,0,0,0,1,0,0,0,2,NA,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,1,NA,1,3,3,1,4,8,3,1,1,5,NA,3,2,1,39,"60",7,NA,NA,NA,0,0,0,0,1,NA,0
"5","0020007751","ABS",NA,1.4608136632,NA,6381.6526066,NA,3190.8263033,16,3,3,3,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,3,3,2,3,2,NA,NA,1,1,NA,2,1,2,2,2,2,2,2,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,1,NA,1,NA,NA,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.8,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,4,6,2,1,1,2,2,2,2,3,3,2,1,5,1,3,3,2,NA,"0",8,NA,NA,NA,0,0,0,0,2,NA,0
"6","0020008439","ABS",NA,0.5321858968,NA,8715.1640942,NA,4357.5820471,14,2,3,4,3,4,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,1,2,2,1,2,2,2,4,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,3,1,5,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,NA,60,1,1,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,1,0,0,0,0,0,1,97.5,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,3,4,2,3,2,5,4,5,2,3,3,2,1,5,3,4,2,5,47,"60",8,NA,NA,NA,0,0,0,0,5,NA,1
"7","0020009555","ABS",NA,0.7579812211,NA,12412.825599,NA,6206.4127993,14,3,3,3,2,2,2,1,3,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,1,3,NA,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,3,4,4,1,1,1,2,2,2,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,0,0,1,0,0,0,1,0,0,0,0,3,2,0,5,5,4,4,4,1,4,1,4,4,4,4,4,1,3,3,0,0,0,1,0,0,0,2,NA,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,4,7,2,1,1,3,3,3,2,3,3,1,1,5,1,1,3,5,NA,"0",3,NA,NA,NA,0,0,0,0,3,NA,0
"8","0020010010","ABS",NA,0.1148100306,NA,1358.5309522,NA,679.2654761,17,2,2,2,1,2,2,2,1,NA,2,2,2,2,2,2,2,2,2,1,2,2,NA,2,2,2,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,4,2,4,4,4,1,2,NA,NA,NA,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,0,0,0,0,0,1,0,2,NA,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,6,2,1,1,5,4,1,4,8,3,2,1,5,1,3,3,1,NA,"0",8,NA,NA,NA,0,0,0,0,1,NA,0
"9","0020012980","ABS",NA,0.3922021938,NA,4260.808662,NA,2130.404331,11,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,2,2,3,2,2,1,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,4,4,4,4,4,1,4,1,NA,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,98.5,2,1,NA,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,7,1,1,1,5,4,1,3,5,3,2,1,5,1,2,3,1,NA,"0",6,NA,NA,NA,0,0,0,0,1,NA,1
"10","0020015579","ABS",NA,0.2774947652,NA,9525.6040278,NA,4762.8020139,8,4,3,2,1,1,2,1,4,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,5,4,4,4,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,3,2,0,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,0,0,0,1,0,0,0,1,97.8,2,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,1,NA,2,2,2,4,6,2,4,2,5,4,1,1,2,3,2,1,6,5,NA,3,1,NA,"0",NA,NA,NA,NA,0,0,0,0,1,NA,-1
